"reportDate","payload.appt_num","payload.developer_group_name","payload.typed_volume_pct","payload.total_living_floor_size","payload.developer_group_id","payload.object_count","payload.total_living_floor_size_pct"
2019-05-01,6275,"Компания Дарстрой",56,244947,"5399456001",53,0.1736089176
2019-05-01,6194,"Строительная компания Семья",0,242702,"5696040001",23,0.1720177489
2019-05-01,4083,"Переделкино Ближнее",100,241566,"9996046001",9,0.1712125962
2019-05-01,5445,"Группа компаний РосСтройИнвест",0,238683,"1762521001",21,0.1691692378
2019-05-01,5196,"Группа компаний Профит",100,237255,"4518323001",23,0.1681571269
2019-05-01,4831,"Строительный холдинг Орёлстрой",90.6,234575,"1460205001",28,0.166257647
2019-05-01,4695,"Производственно-коммерческая фирма Гюнай",100,234115,"4964304001",9,0.1659316169
2019-05-01,5314,"АнГор и КРСКА",100,232098,"5486556001",16,0.1645020456
2019-05-01,5270,"Управляющая строительная компания Сибиряк",67,225673,"5397209001",21,0.1599482552
2019-05-01,4908,"Группа компаний Модуль-Стройград",49.21,225175,"417967001",37,0.1595952922
2019-05-01,4777,"Инвесттраст",100,223849,"9036372001",10,0.1586554749
2019-05-01,4753,"Концерн КРОСТ",0,223348,"430109001",12,0.1583003855
2019-05-01,3780,"Строительная компания Шэлдом",76.53,222865,"5785302001",10,0.1579580539
2019-05-01,4246,"Lexion Development",0,222008,"1387249001",3,0.1573506456
2019-05-01,6097,"Группа компаний Развитие",21.34,218372,"461175001",27,0.1547735901
2019-05-01,3603,"Группа компаний ЭНКО",43.59,213013,"402466001",17,0.150975339
2019-05-01,4132,"Финстрой",100,212504,"1071775001",26,0.1506145796
2019-05-01,4091,"Группа компаний СУ-155 (объекты достраивает АО ""Банк ДОМ.РФ"")",99.29,211688,"346211001",9,0.1500362305
2019-05-01,4212,"Корпорация развития Пермского края",36.26,210717,"5394700001",20,0.1493480234
2019-05-01,4033,"Группа компаний Новый ДОН",11.68,209200,"1164353001",12,0.1482728328
2019-05-01,3582,"Группа компаний Мегаполис",82.52,203400,"3187375001",18,0.1441620181
2019-05-01,4534,"Группа компаний Территория жизни",100,202700,"7333890001",17,0.1436658853
2019-05-01,4068,"Фонд развития жилищного строительства Республики Башкортостан",100,202076,"5767668001",33,0.1432236183
2019-05-01,4224,"СЕВЕРНАЯ КОМПАНИЯ",23.8,201183,"4856325001",12,0.1425906946
2019-05-01,2504,"Строительная группа Рисан",48.64,200799,"451437001",14,0.1423185304
2019-05-01,3233,"Монострой",57.65,199685,"4241404001",14,0.1415289704
2019-05-01,4715,"СпецКомАвтотранс",79.99,199397,"5632485001",11,0.1413248472
2019-05-01,4605,"Компания Базисные Инвестиции",49.41,198814,"4276788001",69,0.1409116395
2019-05-01,4004,"Строительная компания Игротэк",63.28,190721,"3318134001",30,0.1351756355
2019-05-01,3455,"Северные Строительные Технологии",43.08,189871,"702183001",24,0.1345731885
2019-05-01,3552,"Группа компаний Эйнком",38.33,189396,"2180876001",20,0.1342365269
2019-05-01,3716,"Группа компаний Новард",0,186754,"1153755001",21,0.13236398
2019-05-01,3271,"УралДомСтрой",0,186391,"834259001",19,0.1321066997
2019-05-01,3381,"Строительная инициатива",50.9,186352,"11530307001",15,0.132079058
2019-05-01,3092,"Строительный холдинг Град",91.72,186100,"954584001",41,0.1319004502
2019-05-01,3496,"Специализированный Застройщик Бастион",100,184087,"12164907001",7,0.130473714
2019-05-01,2247,"Группа компаний ВекторСтройФинанс",0,182481,"4845862001",15,0.1293354436
2019-05-01,3669,"Группа компаний Лист",100,180451,"1212512001",12,0.1278966585
2019-05-01,4107,"Группа компаний РАССВЕТ",78.65,180446,"3152888001",18,0.1278931146
2019-05-01,2912,"Первый Московский",100,179995,"10811872001",8,0.1275734634
2019-05-01,2734,"Девелоперская компания Лидер Инвест",0,179491,"2570896001",12,0.1272162477
2019-05-01,4097,"Уральский строительный комплекс-2",100,177810,"931203001",9,0.1260248203
2019-05-01,2318,"Прайм Парк",0,177241,"10265347001",7,0.1256215352
2019-05-01,3607,"Рождествено",100,176583,"7621498001",7,0.1251551703
2019-05-01,4360,"Группа компаний Атлант",0,175868,"6157606001",8,0.1246484061
2019-05-01,3414,"Строительная компания ВЫБОР",87.17,175244,"4252132001",15,0.1242061391
2019-05-01,3798,"Строительная компания ВологдаГражданСтрой",95.21,174363,"2968328001",25,0.1235817206
